Site_Id,LakeCode,ekoltasoid,palavpdvhs3_ha
40120,141221005,2.0,"979,16"
40120,141221005,1.0,"173,98"
40121,141221009,2.0,"62,38"
40122,30121001,,
40123,30311001,,
40124,30401011,,
40125,141831012,,
40126,141821002,3.0,"1312,39"
40128,nan,,
40129,nan,,
40131,42731131,,
40132,42741108,,
40133,42741124,,
40134,42741100,,
40135,42741017,,
40138,42661013,,
40139,42371009,,
40140,42211001,,
40141,42211001,,
40142,41721027,,
40143,41721029,,
40144,41731006,,
40145,41721030,,
40154,41511001,,
40155,41511001,,
40156,41511001,,
40158,41211001,,
40159,nan,,
40160,nan,,
40163,41121001,,
40164,41121001,,
40165,41121001,,
40166,41121001,,
40167,41121579,,
40168,41121437,,
40169,41121437,,
40170,41121437,,
40173,41141041,,
40174,41121479,,
40180,149231051,,
40185,149131043,1.0,"1312,77"
40186,149131043,1.0,"1312,77"
40194,147821001,4.0,"1263,88"
40194,147821001,1.0,"4363,96"
40194,147821001,2.0,"147,49"
40198,143841005,,
40202,149211001,1.0,"1383,92"
40205,41211001,,
40206,41211001,,
40207,41211001,,
40208,41211001,,
40209,41211001,,
40210,41211001,,
40211,41211001,,
